source,city,country,species,common_name,latitude,longitude,date,observer,photo_url,quality,record_url
iNaturalist,Nairobi,Kenya,Philothamnus battersbyi,Battersby's Green Snake,-0.4035296458,36.0961661115,2025-05-26,alexmwangi,https://inaturalist-open-data.s3.amazonaws.com/photos/511291210/medium.jpg,research,https://www.inaturalist.org/observations/284475551
iNaturalist,Nairobi,Kenya,Python natalensis,Southern African Python,-1.3824916039,36.8610198051,2024-02-04,alexmwangi,https://inaturalist-open-data.s3.amazonaws.com/photos/509701180/medium.jpg,casual,https://www.inaturalist.org/observations/283653481
iNaturalist,Nairobi,Kenya,Duberria lutrix atriventris,Duberria lutrix atriventris,-0.6413722222,36.2544388889,2025-05-22,douglas91413,https://inaturalist-open-data.s3.amazonaws.com/photos/508839198/medium.jpg,research,https://www.inaturalist.org/observations/283195709
iNaturalist,Nairobi,Kenya,Duberria lutrix,Common Slug-eater,-0.6413722222,36.2544388889,2025-05-22,douglas91413,https://inaturalist-open-data.s3.amazonaws.com/photos/508828935/medium.jpg,needs_id,https://www.inaturalist.org/observations/283189661
iNaturalist,Nairobi,Kenya,Duberria lutrix atriventris,Duberria lutrix atriventris,-0.6471777778,36.2440083333,2025-05-20,douglas91413,https://static.inaturalist.org/photos/507831400/medium.jpg,research,https://www.inaturalist.org/observations/282651938
iNaturalist,Nairobi,Kenya,Naja pallida,Red Spitting Cobra,-1.3342516667,36.7580216667,2025-03-02,douglas91413,https://static.inaturalist.org/photos/507831082/medium.jpg,casual,https://www.inaturalist.org/observations/282651749
iNaturalist,Nairobi,Kenya,Naja ashei,Ashe's Spitting Cobra,-1.3344516667,36.7579666667,2025-03-02,douglas91413,https://static.inaturalist.org/photos/507831008/medium.jpg,casual,https://www.inaturalist.org/observations/282651697
iNaturalist,Nairobi,Kenya,Naja nigricollis,Black-necked Spitting Cobra,-1.334455,36.757965,2025-03-02,douglas91413,https://static.inaturalist.org/photos/507830902/medium.jpg,casual,https://www.inaturalist.org/observations/282651673
iNaturalist,Nairobi,Kenya,Bitis arietans,Puff Adder,-1.33468,36.7578733333,2025-03-02,douglas91413,https://static.inaturalist.org/photos/507830851/medium.jpg,research,https://www.inaturalist.org/observations/282651641
iNaturalist,Nairobi,Kenya,Python sebae,African Rock Python,-1.3611209957,36.6345431427,2025-03-02,douglas91413,https://static.inaturalist.org/photos/507830790/medium.jpg,casual,https://www.inaturalist.org/observations/282651303
iNaturalist,Nairobi,Kenya,Python natalensis,Southern African Python,-1.334445,36.7579566667,2025-03-02,douglas91413,https://static.inaturalist.org/photos/507830260/medium.jpg,casual,https://www.inaturalist.org/observations/282651223
iNaturalist,Nairobi,Kenya,Serpentes,Snakes,-1.4060302812,36.7092885302,2025-05-19,sankarayambo,https://inaturalist-open-data.s3.amazonaws.com/photos/507343600/medium.jpg,needs_id,https://www.inaturalist.org/observations/282388662
iNaturalist,Nairobi,Kenya,Aparallactus jacksonii,Jackson’s centipede-eater,-1.3974179452,36.8462695342,2025-05-01,koenbetjes,https://inaturalist-open-data.s3.amazonaws.com/photos/506642282/medium.jpg,needs_id,https://www.inaturalist.org/observations/282015222
iNaturalist,Nairobi,Kenya,Philothamnus,Philothamnus,-1.3997355898,36.8534618732,2025-04-25,koenbetjes,https://inaturalist-open-data.s3.amazonaws.com/photos/506278736/medium.jpg,needs_id,https://www.inaturalist.org/observations/281835220
iNaturalist,Nairobi,Kenya,Boaedon,Brown House Snakes,-0.9441,36.5966333333,2025-05-15,kenyarunner,https://inaturalist-open-data.s3.amazonaws.com/photos/505180457/medium.jpg,needs_id,https://www.inaturalist.org/observations/281233345
iNaturalist,Nairobi,Kenya,Philothamnus,Philothamnus,-1.4026890041,36.8484391913,2025-04-07,koenbetjes,https://inaturalist-open-data.s3.amazonaws.com/photos/504303298/medium.jpeg,needs_id,https://www.inaturalist.org/observations/280768352
iNaturalist,Nairobi,Kenya,Boaedon fuliginosus,Brown House Snake,-1.3999643962,36.8496747315,2025-05-09,haron_lenges,https://inaturalist-open-data.s3.amazonaws.com/photos/502327332/medium.jpeg,needs_id,https://www.inaturalist.org/observations/279722033
iNaturalist,Nairobi,Kenya,Naja nigricollis,Black-necked Spitting Cobra,-1.3895175902,36.7821230981,2025-05-08,autama,https://inaturalist-open-data.s3.amazonaws.com/photos/501757661/medium.jpeg,research,https://www.inaturalist.org/observations/279415717
iNaturalist,Nairobi,Kenya,Indotyphlops braminus,Brahminy Blindsnake,-0.7081944444,37.2452722222,2025-05-08,infinityoutdoorskenya,https://inaturalist-open-data.s3.amazonaws.com/photos/501716741/medium.jpeg,needs_id,https://www.inaturalist.org/observations/279394594
iNaturalist,Nairobi,Kenya,Elapsoidea,African Garter Snakes,-1.4457369011,36.9143252809,2025-04-10,kinyonga148,https://inaturalist-open-data.s3.amazonaws.com/photos/490461452/medium.jpeg,needs_id,https://www.inaturalist.org/observations/272614836
iNaturalist,Nairobi,Kenya,Philothamnus,Philothamnus,-1.2111779424,36.7099705338,2025-04-11,ethankurotsuchi,https://inaturalist-open-data.s3.amazonaws.com/photos/486636924/medium.jpeg,needs_id,https://www.inaturalist.org/observations/270583237
iNaturalist,Nairobi,Kenya,Elapsoidea,African Garter Snakes,-1.4343238904,36.9192972483,2025-04-15,zoeeeeeeeee211b,https://inaturalist-open-data.s3.amazonaws.com/photos/486543051/medium.jpg,needs_id,https://www.inaturalist.org/observations/270535366
iNaturalist,Nairobi,Kenya,Lycophidion,African Wolf Snakes,-1.902325,36.0519555,2023-12-26,olliesaunders,https://inaturalist-open-data.s3.amazonaws.com/photos/484991810/medium.jpg,needs_id,https://www.inaturalist.org/observations/269719239
iNaturalist,Nairobi,Kenya,Philothamnus,Philothamnus,-1.3824916039,36.8610198051,2025-01-17,peregrinepistone,https://inaturalist-open-data.s3.amazonaws.com/photos/481999034/medium.jpeg,needs_id,https://www.inaturalist.org/observations/268166082
iNaturalist,Nairobi,Kenya,Dendroaspis polylepis,Black Mamba,-0.4272777778,36.0529777778,2023-09-18,fadavid,https://inaturalist-open-data.s3.amazonaws.com/photos/479392895/medium.jpeg,research,https://www.inaturalist.org/observations/266809178
iNaturalist,Nairobi,Kenya,Psammophis,Sand Racers,-1.4827763331,37.1239801266,2025-03-19,klaus_flohr,https://static.inaturalist.org/photos/477827774/medium.jpg,needs_id,https://www.inaturalist.org/observations/265970474
iNaturalist,Nairobi,Kenya,Montatheris hindii,Kenya Montane Viper,-0.5270684542,36.6528219642,2024-01-14,jane_tours,https://inaturalist-open-data.s3.amazonaws.com/photos/476452903/medium.jpg,research,https://www.inaturalist.org/observations/265269432
iNaturalist,Nairobi,Kenya,Lycophidion capense,Cape Wolf Snake,-0.7730318333,36.4125996321,2025-02-22,ciscad,https://inaturalist-open-data.s3.amazonaws.com/photos/473677287/medium.jpg,needs_id,https://www.inaturalist.org/observations/263649426
iNaturalist,Nairobi,Kenya,Leptotyphlops merkeri,Merker's thread Snake,-1.2751947851,36.7748953578,2020-12-09,craigscribbles,https://inaturalist-open-data.s3.amazonaws.com/photos/469947083/medium.jpeg,needs_id,https://www.inaturalist.org/observations/261569713
iNaturalist,Nairobi,Kenya,Leptotyphlops merkeri,Merker's thread Snake,-1.2500849,36.8213209,2023-12-27,craigscribbles,https://inaturalist-open-data.s3.amazonaws.com/photos/469585361/medium.jpg,research,https://www.inaturalist.org/observations/261390261
iNaturalist,Nairobi,Kenya,Leptotyphlops merkeri,Merker's thread Snake,-1.2772728039,36.7814787767,2019-07-11,craigscribbles,https://inaturalist-open-data.s3.amazonaws.com/photos/469176268/medium.jpg,research,https://www.inaturalist.org/observations/261183994
iNaturalist,Nairobi,Kenya,Boaedon fuliginosus,Brown House Snake,-1.3824923,36.86102,2021-04-04,craigscribbles,https://inaturalist-open-data.s3.amazonaws.com/photos/468494988/medium.jpeg,needs_id,https://www.inaturalist.org/observations/260839258
iNaturalist,Nairobi,Kenya,Serpentes,Snakes,-1.1801666257,36.9531670958,,babazyon,https://inaturalist-open-data.s3.amazonaws.com/photos/468215211/medium.jpeg,casual,https://www.inaturalist.org/observations/260695285
iNaturalist,Nairobi,Kenya,Serpentes,Snakes,-1.1814739444,36.9519195556,2025-02-05,babazyon,https://inaturalist-open-data.s3.amazonaws.com/photos/468210807/medium.jpeg,needs_id,https://www.inaturalist.org/observations/260692904
iNaturalist,Nairobi,Kenya,Lycophidion,African Wolf Snakes,-1.6964423275,36.4317852001,2025-02-01,everylilac,https://inaturalist-open-data.s3.amazonaws.com/photos/467544061/medium.jpg,needs_id,https://www.inaturalist.org/observations/260356109
iNaturalist,Nairobi,Kenya,Python sebae,African Rock Python,-0.6433061587,36.5417362961,2014-09-11,ver0niknik,https://inaturalist-open-data.s3.amazonaws.com/photos/465451163/medium.jpeg,research,https://www.inaturalist.org/observations/259306652
iNaturalist,Nairobi,Kenya,Psammophis mossambicus,Olive Whip Snake,-1.2923010657,37.1721099958,2024-12-21,musila-kenya,https://inaturalist-open-data.s3.amazonaws.com/photos/464926281/medium.jpg,needs_id,https://www.inaturalist.org/observations/259048638
iNaturalist,Nairobi,Kenya,Boaedon fuliginosus,Brown House Snake,-1.1285318447,37.0074318722,2025-01-11,ndanganga,https://inaturalist-open-data.s3.amazonaws.com/photos/463477682/medium.jpeg,needs_id,https://www.inaturalist.org/observations/258339912
iNaturalist,Nairobi,Kenya,Crotaphopeltis hotamboeia,Red-lipped Snake,-1.2350553726,36.8818207027,2025-01-11,avybee,https://inaturalist-open-data.s3.amazonaws.com/photos/463063412/medium.jpeg,research,https://www.inaturalist.org/observations/258123122
iNaturalist,Nairobi,Kenya,Coelognathus flavolineatus,Black Copper Rat Snake,-1.3942216667,36.78161,2025-01-10,geofry,https://static.inaturalist.org/photos/462891649/medium.jpeg,casual,https://www.inaturalist.org/observations/258031600
iNaturalist,Nairobi,Kenya,Boaedon fuliginosus,Brown House Snake,-0.9080866477,36.5957002504,2025-01-03,kenyarunner,https://inaturalist-open-data.s3.amazonaws.com/photos/462300073/medium.jpg,research,https://www.inaturalist.org/observations/257685117
iNaturalist,Nairobi,Kenya,Dasypeltis atra,Montane Egg-eater,-1.2444042572,36.7318937307,2014-07-17,davinmanson,https://static.inaturalist.org/photos/460428248/medium.jpg,research,https://www.inaturalist.org/observations/256757447
